run_id,run_mode,datetime
043067,Odd,2022-05-20 08:28:43.256
043069,Even,2022-05-20 08:38:15.346
043441,Odd,2022-05-27 08:27:33.356
043447,Even,2022-05-27 08:48:09.593
043793,Odd,2022-06-03 08:18:46.783
043798,Even,2022-06-03 08:33:29.893
044091,Odd,2022-06-09 09:27:37.646
044094,Even,2022-06-09 09:48:01.942
044615,Odd,2022-06-17 09:04:44.324
044618,Even,2022-06-17 09:16:32.747
044967,Odd,2022-06-23 16:41:00.296
044970,Even,2022-06-23 16:59:32.515
045358,Odd,2022-07-01 08:16:27.276
045361,Even,2022-07-01 08:49:35.262
045702,Odd,2022-07-08 08:41:20.551
045707,Even,2022-07-08 09:03:04.729
045916,Odd,2022-07-15 07:42:18.831
045917,Even,2022-07-15 07:52:34.825
046431,Odd,2022-07-28 14:12:29.418
046432,Even,2022-07-28 14:23:01.299
046650,Odd,2022-08-05 14:00:43.200
046652,Even,2022-08-05 14:14:47.205
046846,Odd,2022-08-12 15:27:48.654
046848,Even,2022-08-12 15:49:49.714
047017,Odd,2022-08-19 08:25:35.693
047018,Even,2022-08-19 08:36:55.624
047244,Odd,2022-08-26 09:03:21.396
047246,Even,2022-08-26 09:18:53.585
047329,Odd,2022-09-02 08:17:05.375
047335,Even,2022-09-02 08:34:45.405
047429,Odd,2022-09-09 07:56:44.033
047434,Even,2022-09-09 08:13:32.412
047530,Odd,2022-09-16 08:31:59.882
047532,Even,2022-09-16 08:51:11.830
047680,Odd,2022-09-30 09:41:02.859
047684,Even,2022-09-30 09:55:34.766
047944,Odd,2022-10-07 09:12:47.276
047945,Even,2022-10-07 09:21:47.345
048138,Odd,2022-10-14 12:53:15.046
048141,Even,2022-10-14 13:12:50.977
048311,Odd,2022-10-21 08:29:36.657
048313,Even,2022-10-21 08:43:24.715
048408,Even,2022-10-28 08:22:36.037
048413,Odd,2022-10-28 08:34:31.719
048500,Odd,2022-11-04 09:19:58.573
048505,Even,2022-11-04 09:34:14.601
048580,Odd,2022-11-11 09:02:52.863
048583,Even,2022-11-11 09:41:25.287
048798,Odd,2022-11-18 08:34:06.380
048803,Even,2022-11-18 08:44:07.147
049153,Odd,2022-11-25 09:07:10.229
049156,Even,2022-11-25 09:31:30.227
049229,Odd,2022-12-01 13:49:52.256
049232,Even,2022-12-01 14:13:48.700
049351,Odd,2022-12-09 08:43:39.240
049354,Even,2022-12-09 09:04:03.386
049410,Odd,2022-12-15 10:25:55.827
049415,Even,2022-12-15 10:39:55.978
049745,Odd,2022-12-23 08:32:19.617
049750,Even,2022-12-23 08:47:36.007
049879,Odd,2022-12-30 08:25:45.060
049886,Even,2022-12-30 08:50:57.592
050061,Odd,2023-01-06 09:46:36.794
050064,Even,2023-01-06 10:10:28.923
050213,Odd,2023-01-20 09:42:31.550
050215,Even,2023-01-20 10:03:23.749
050273,Odd,2023-01-27 09:42:20.896
050275,Even,2023-01-27 10:02:09.140
050310,Odd,2023-02-03 16:30:16.678
050317,Even,2023-02-03 16:51:29.143
050380,Odd,2023-02-10 09:12:59.049
050385,Even,2023-02-10 09:26:58.565
050526,Odd,2023-02-18 14:36:24.729
050531,Even,2023-02-18 14:49:57.303
050624,Odd,2023-02-23 14:27:55.087
050629,Even,2023-02-23 14:47:34.671
050731,Odd,2023-03-03 09:08:59.172
050737,Even,2023-03-03 09:28:07.858
050800,Odd,2023-03-10 13:54:21.678
050805,Even,2023-03-10 14:08:38.621
